IGNORE;MATERIAL_CATEGORY;MATERIAL_GROUP;MATERIAL_NUMBER;MATERIAL_NAME;DENSITY;PRICE_PER_KILO;SYNONYMS;SHOP_TYPE
1;Nicht-Eisen-Metalle||Non-ferrous metals||||;NE-ME;2.4969;NiCr20Co18Ti NIMONIC 90;8.2;17.0;;BOTH
0;Titan||Titanium||Titan Italian||Titan Czech;Ti;3.7164;TiAl6V4 Luftfahrt;4.445;25.0;;BOTH
1;Stahl (unlegiert)||Steel (unalloyed)||Acciaio non legato||Acciaio non legato;St;1.0718;11SMnPb30;7.8;1.0;;BOTH
1;Stahl (unlegiert)||Steel (unalloyed)||Acciaio non legato||Acciaio non legato;St;1.1141;CK15;7.8;0.7;;BOTH
1;Stahl (unlegiert)||Steel (unalloyed)||Acciaio non legato||Acciaio non legato;St;1.1211;Federdraht C60S;7.85;0.8;;BOTH
1;Stahl (unlegiert)||Steel (unalloyed)||Acciaio non legato||Acciaio non legato;St;1.1248;CK75;7.8;0.85;;BOTH
1;Stahl (unlegiert)||Steel (unalloyed)||Acciaio non legato||Acciaio non legato;St;1.0570;St52-3 / S355J2G3;7.8;5.0;;BOTH
1;Stahl (unlegiert)||Steel (unalloyed)||Acciaio non legato||Acciaio non legato;St;1.5752;15NiCr13;7.8;1.2;;BOTH
1;Stahl (unlegiert)||Steel (unalloyed)||Acciaio non legato||Acciaio non legato;St;1.7142;16MnCrS5Pb;7.8;6.5;;BOTH
1;Stahl (unlegiert)||Steel (unalloyed)||Acciaio non legato||Acciaio non legato;St;1.7709;21CrMoV5;7.8;3.8;;BOTH
1;Stahl (unlegiert)||Steel (unalloyed)||Acciaio non legato||Acciaio non legato;St;1.7102;54SiCr6;7.46;3.0;;BOTH
1;Stahl (unlegiert)||Steel (unalloyed)||Acciaio non legato||Acciaio non legato;St;1.0490;S275N;7.8;1.1;;BOTH
1;Stahl (unlegiert)||Steel (unalloyed)||Acciaio non legato||Acciaio non legato;St;1.0398;DD12;7.85;1.0;;BOTH
1;Stahl (unlegiert)||Steel (unalloyed)||Acciaio non legato||Acciaio non legato;St;1.0401;C15;7.85;1.3;;BOTH
1;Stahl (unlegiert)||Steel (unalloyed)||Acciaio non legato||Acciaio non legato;St;1.1274;CK101;7.9;2.5;;BOTH
1;Stahl (unlegiert)||Steel (unalloyed)||Acciaio non legato||Acciaio non legato;St;1.7220;34CrMo4;7.74;2.0;;BOTH
1;Stahl (unlegiert)||Steel (unalloyed)||Acciaio non legato||Acciaio non legato;St;1.0503;C45K gezogen;7.8;1.5;;BOTH
1;Stahl (unlegiert)||Steel (unalloyed)||Acciaio non legato||Acciaio non legato;St;1.1231;C67S;7.8;1.0;;BOTH
1;Edelstahl||Stainless steel||Acciaio inossidabile||acciaio inossidabile;VA;1.4568;X7CrNiAl17-7;7.81;4.0;;BOTH
1;Edelstahl||Stainless steel||Acciaio inossidabile||acciaio inossidabile;VA;1.4429;X2CrNiMoN17-13-3;8.0;6.0;;BOTH
1;Werkzeugstahl||Tool steel||Acciaio per utensili||Nástrojová ocel;VA;1.2083;X42Cr13;7.8;3.0;;BOTH
1;Edelstahl||Stainless steel||Acciaio inossidabile||acciaio inossidabile;VA;1.4005;X12CrS13;7.7;2.7;;BOTH
1;Edelstahl||Stainless steel||Acciaio inossidabile||acciaio inossidabile;VA;1.4035;X45CrS13;7.71;3.0;;BOTH
1;Edelstahl||Stainless steel||Acciaio inossidabile||acciaio inossidabile;VA;1.4618;X9CrMnNiCu17-8-5-2;7.8;3.0;;BOTH
1;Edelstahl||Stainless steel||Acciaio inossidabile||acciaio inossidabile;VA;1.4028;X30Cr13;7.8;1.5;;BOTH
1;Edelstahl||Stainless steel||Acciaio inossidabile||acciaio inossidabile;VA;1.4031;X39Cr13;7.8;2.0;;BOTH
1;Edelstahl||Stainless steel||Acciaio inossidabile||acciaio inossidabile;VA;1.4037;X65Cr13;7.8;5.0;;BOTH
1;Edelstahl||Stainless steel||Acciaio inossidabile||acciaio inossidabile;VA;1.4105;X4CrMoS18;7.8;3.8;;BOTH
1;Edelstahl||Stainless steel||Acciaio inossidabile||acciaio inossidabile;VA;1.4108;X30CrMoN15-1;7.72;6.8;;BOTH
0;Edelstahl||Stainless steel||Acciaio inossidabile||acciaio inossidabile;VA;1.4401;X5CrNiMo17-12-2;7.8;10.0;;BOTH
1;Edelstahl||Stainless steel||Acciaio inossidabile||acciaio inossidabile;VA;1.4462;X2CrNiMoN22-5-3;7.8;5.5;;BOTH
1;Edelstahl||Stainless steel||Acciaio inossidabile||acciaio inossidabile;VA;1.4307;X2CrNi18-9;7.9;3.0;X2CrNi189;BOTH
1;Aluminium||Aluminum||Alluminio||alluminio;Alu;3.4325;AlZn4Mg2Mn;2.75;6.0;;BOTH
1;Aluminium||Aluminum||Alluminio||alluminio;Alu;3.3555;AlMg5;2.64;5.5;EN AW-5019;BOTH
1;Aluminium||Aluminum||Alluminio||alluminio;Alu;3.3315;AlMg1;2.7;3.0;EN AW-5005;BOTH
1;Aluminium||Aluminum||Alluminio||alluminio;Alu;3.2163;AC AlSi9Cu3;2.76;2.5;;BOTH
1;Aluminium||Aluminum||Alluminio||alluminio;Alu;3.1655;AlCuBiPb;2.7;2.5;;BOTH
1;Edelstahl||Stainless steel||Acciaio inossidabile||acciaio inossidabile;VA;1.41251;X105CrMo17 gehärtet HRC 55;7.8;9.0;;BOTH
0;Kunststoff||Plastic||||;KU;0.2232;EPDM Premium (65;1.35;11.44;;BOTH
0;Kunststoff||Plastic||||;KU;0.1202;POM-C weiss;1.39;6.0;;BOTH
0;Kunststoff||Plastic||||;KU;0.2960;PVC-U;1.38;7.58;;BOTH
0;Kunststoff||Plastic||||;KU;0.1701;PEEK;1.32;158.0;;BOTH
0;Kunststoff||Plastic||||;KU;0.14111;PE 1000;0.963;6.82;;BOTH
0;Kunststoff||Plastic||||;KU;0.1411;PA;1.14;13.0;;BOTH
1;Aluminium||Aluminum||Alluminio||alluminio;Alu;3.1646;EN AW-2007 / AlCuMgPb;2.85;7.5;;BOTH
0;Kunststoff||Plastic||||;KU;0.1233;POM-C schwarz;1.39;6.0;;BOTH
0;TECADUR / PBT||TECADUR / PBT||||;KU;0.8111;TECADUR PBT GF30 natural;1.46;28.31;PBT;BOTH
0;TECAFLON / PTFE, PVDF||TECAFLON / PTFE, PVDF||||;KU;0.8112;TECAFLON PTFE natural;2.15;14.41;PTFE;BOTH
0;TECAFLON / PTFE, PVDF||TECAFLON / PTFE, PVDF||||;KU;0.8113;TECAFLON PVDF natural;1.78;62.78;PVDF;BOTH
0;TECAFORM / POM||TECAFORM / POM||||;KU;0.8114;TECAFORM AD AF natural;1.49;55.66;POM AD AF natural;BOTH
0;TECAFORM / POM||TECAFORM / POM||||;KU;0.8115;TECAFORM AD black;1.43;9.59;POM AD black;BOTH
0;TECAFORM / POM||TECAFORM / POM||||;KU;0.8116;TECAFORM AD natural;1.43;9.36;POM AD natural;BOTH
0;TECAFORM / POM||TECAFORM / POM||||;KU;0.8117;TECAFORM AH ELS black;1.41;21.51;POM AH ELS;BOTH
0;TECAFORM / POM||TECAFORM / POM||||;KU;0.8118;TECAFORM AH GF25 natural;1.59;17.73;POM GF 25;BOTH
0;TECAFORM / POM||TECAFORM / POM||||;KU;0.8119;TECAFORM AH ID blue;1.49;24.1;POM AH ID blue;BOTH
0;TECAFORM / POM||TECAFORM / POM||||;KU;0.8120;TECAFORM AH LM white;1.41;14.33;POM AH LM;BOTH
0;TECAFORM / POM||TECAFORM / POM||||;KU;0.8121;TECAFORM AH SD natural;1.35;89.88;POM AH SD;BOTH
0;TECAFORM / POM||TECAFORM / POM||||;KU;0.8122;TECAFORM AH UD blue;1.68;31.24;POM AH UD;BOTH
0;TECAFORM / POM||TECAFORM / POM||||;KU;0.8123;TECAFORM AH black;1.41;7.3;POM AH black;BOTH
0;TECAFORM / POM||TECAFORM / POM||||;KU;0.8124;TECAFORM AH blue;1.41;10.38;POM AH blue;BOTH
0;TECAFORM / POM||TECAFORM / POM||||;KU;0.8125;TECAFORM AH natural;1.41;7.48;POM AH natural;BOTH
0;TECAMID / PA||TECAMID / PA||||;KU;0.8126;TECAMID 12 natural;1.02;25.25;PA 12;BOTH
0;TECAMID / PA||TECAMID / PA||||;KU;0.8127;TECAMID 6 FRT black;1.19;18.26;PA 6 FRT black;BOTH
0;TECAMID / PA||TECAMID / PA||||;KU;0.8128;TECAMID 6 FRT natural;1.19;17.03;PA 6 FRT natural;BOTH
0;TECAMID / PA||TECAMID / PA||||;KU;0.8129;TECAMID 6 GF25 black;1.33;12.03;PA 6 GF25;BOTH
0;TECAMID / PA||TECAMID / PA||||;KU;0.8130;TECAMID 6 GF30 black;1.36;12.14;PA 6 GF 30;BOTH
0;TECAMID / PA||TECAMID / PA||||;KU;0.8131;TECAMID 6 MO black;1.14;8.55;PA 6 MO;BOTH
0;TECAMID / PA||TECAMID / PA||||;KU;0.8132;TECAMID 6 natural;1.14;8.11;PA 6 natural;BOTH
0;TECAMID / PA||TECAMID / PA||||;KU;0.8133;TECAMID 66 CF20 black;1.23;52.8;PA 66 CF20;BOTH
0;TECAMID / PA||TECAMID / PA||||;KU;0.8134;TECAMID 66 GF30 black;1.23;17.71;PA 66 GF30;BOTH
0;TECAMID / PA||TECAMID / PA||||;KU;0.8135;TECAMID 66 GF35 black;1.23;31.3;PA 66 GF35;BOTH
0;TECAMID / PA||TECAMID / PA||||;KU;0.8136;TECAMID 66 GF35 natural;1.4;32.26;PA 66 GF 35 natural;BOTH
0;TECAMID / PA||TECAMID / PA||||;KU;0.8137;TECAMID 66 HI brown;1.15;22.91;PA 66 HI;BOTH
0;TECAMID / PA||TECAMID / PA||||;KU;0.8138;TECAMID 66 MO black;1.15;12.22;PA 66 MO;BOTH
0;TECAMID / PA||TECAMID / PA||||;KU;0.8139;TECAMID 66 natural;1.15;12.11;PA 66 natural;BOTH
0;TECAMID / PA||TECAMID / PA||||;KU;0.8140;TECAMID 66/X GF50 black;1.61;38.89;PA 66 GF50;BOTH
0;TECANAT / PC||TECANAT / PC||||;KU;0.8141;TECANAT GF30 natural;1.42;17.25;PC GF30;BOTH
0;TECANAT / PC||TECANAT / PC||||;KU;0.8142;TECANAT natural;1.42;11.93;PC natural;BOTH
0;TECANYL / PPE||TECANYL / PPE||||;KU;0.8143;TECANYL GF30 natural;1.3;27.84;PPE;BOTH
0;TECAPEEK / PEEK||TECAPEEK / PEEK||||;KU;0.8144;TECAPEEK CF30 black;1.38;140.78;PEEK CF30;BOTH
0;TECAPEEK / PEEK||TECAPEEK / PEEK||||;KU;0.8145;TECAPEEK CMF grey;1.65;213.68;PEEK CMF grey;BOTH
0;TECAPEEK / PEEK||TECAPEEK / PEEK||||;KU;0.8146;TECAPEEK CMF white;1.65;213.67;PEEK CMF white;BOTH
0;TECAPEEK / PEEK||TECAPEEK / PEEK||||;KU;0.8147;TECAPEEK ELS CF30 black;1.38;179.98;PEEK ELS CF30;BOTH
0;TECAPEEK / PEEK||TECAPEEK / PEEK||||;KU;0.8148;TECAPEEK ELS nano black;1.36;220.7;PEEK ELS nano;BOTH
0;TECAPEEK / PEEK||TECAPEEK / PEEK||||;KU;0.8149;TECAPEEK GF30 natural;1.53;126.81;PEEK GF30;BOTH
0;TECAPEEK / PEEK||TECAPEEK / PEEK||||;KU;0.8150;TECAPEEK HT black;1.31;247.84;PEEK HT;BOTH
0;TECAPEEK / PEEK||TECAPEEK / PEEK||||;KU;0.8151;TECAPEEK ID blue;1.49;178.36;PEEK ID;BOTH
0;TECAPEEK / PEEK||TECAPEEK / PEEK||||;KU;0.8152;TECAPEEK MT CF30 black;1.32;208.89;PEEK MT CF30;BOTH
0;TECAPEEK / PEEK||TECAPEEK / PEEK||||;KU;0.8153;TECAPEEK MT CLASSIX white;1.32;425.11;PEEK MT Classic;BOTH
0;TECAPEEK / PEEK||TECAPEEK / PEEK||||;KU;0.8154;TECAPEEK MT XRO ivory;1.32;193.8;PEEK MT XRO;BOTH
0;TECAPEEK / PEEK||TECAPEEK / PEEK||||;KU;0.8155;TECAPEEK MT black;1.32;143.36;PEEK MT black;BOTH
0;TECAPEEK / PEEK||TECAPEEK / PEEK||||;KU;0.8156;TECAPEEK MT blue;1.32;175.36;PEEK MT blue;BOTH
0;TECAPEEK / PEEK||TECAPEEK / PEEK||||;KU;0.8157;TECAPEEK MT green;1.32;172.39;PEEK MT green;BOTH
0;TECAPEEK / PEEK||TECAPEEK / PEEK||||;KU;0.8158;TECAPEEK MT grey;1.32;170.44;PEEK MT grey;BOTH
